concept_id,concept_en,start_sec,duration_sec,audio_path,ipa,ortho
122,to fly,107.0,1.0,audio/Badr01/KLQ_7.12_A_to_fly_Badr01.wav,pařīn,pařīn
132,nose,2.0,1.0,audio/Badr01/JBIL_34_A_nose_Badr01.wav,pit,pit
138,sister,3.0,1.0,audio/Badr01/JBIL_75_A_sister_Badr01.wav,xwayšik,xwayšik
144,snow,4.0,1.0,audio/Badr01/JBIL_123_A_snow_Badr01.wav,barif,barif
150,big,5.0,1.0,audio/Badr01/JBIL_169_A_big_Badr01.wav,gap,gap
151,small,6.0,1.0,audio/Badr01/JBIL_170_A_small_Badr01.wav,bīčik,bīčik
155,good,7.0,1.0,audio/Badr01/JBIL_150_A_good_Badr01.wav,xū,xū
164,white,8.0,1.0,audio/Badr01/JBIL_181_A_white_Badr01.wav,čarmig,čarmig
165,black,9.0,1.0,audio/Badr01/JBIL_180_A_black_Badr01.wav,sīya,sīya
166,red,10.0,1.0,audio/Badr01/JBIL_179_A_red_Badr01.wav,qirmiz,qirmiz
167,yellow,11.0,1.0,audio/Badr01/JBIL_178_A_yellow_Badr01.wav,zard,zard
217,one,12.0,1.0,audio/Badr01/JBIL_1_A_one_Badr01.wav,yak,yak
218,two,13.0,1.0,audio/Badr01/JBIL_2_A_two_Badr01.wav,do,do
219,three,14.0,1.0,audio/Badr01/JBIL_3_A_three_Badr01.wav,sē,sē
220,four,15.0,1.0,audio/Badr01/JBIL_4_A_four_Badr01.wav,čwār,čwār
221,five,16.0,1.0,audio/Badr01/JBIL_5_A_five_Badr01.wav,panj,panj
247,head,23.0,1.0,audio/Badr01/JBIL_31_A_head_Badr01.wav,sar,sar
249,hair,24.0,1.0,audio/Badr01/JBIL_32_A_hair_Badr01.wav,mü,mü
251,eye,25.0,1.0,audio/Badr01/JBIL_33_A_eye_Badr01.wav,čaw,čaw
252,ear,26.0,1.0,audio/Badr01/JBIL_35_A_ear_Badr01.wav,gūš,gūš
254,mouth,27.0,1.0,audio/Badr01/JBIL_36_A_mouth_Badr01.wav,dam,dam
255,tooth,28.0,1.0,audio/Badr01/JBIL_37_A_tooth_Badr01.wav,dinān,dinān
257,tongue,29.0,1.0,audio/Badr01/JBIL_38_A_tongue_Badr01.wav,zowān,zowān
259,neck,30.0,1.0,audio/Badr01/JBIL_39_A_neck_Badr01.wav,mil,mil
263,hand,31.0,1.0,audio/Badr01/JBIL_42_A_hand_Badr01.wav,das,das
264,finger,32.0,1.0,audio/Badr01/JBIL_44_A_finger_Badr01.wav,kilik,kilik
275,knee,33.0,1.0,audio/Badr01/JBIL_54_A_knee_Badr01.wav,zānü,zānü
276,foot,34.0,1.0,audio/Badr01/JBIL_55_A_foot_Badr01.wav,pā,pā
277,skin,35.0,1.0,audio/Badr01/JBIL_56_A_skin_Badr01.wav,pūs,pūs
278,bone,36.0,1.0,audio/Badr01/JBIL_57_A_bone_Badr01.wav,sixān,sixān
279,blood,37.0,1.0,audio/Badr01/JBIL_58_A_blood_Badr01.wav,xwīn,xwīn
281,heart,38.0,1.0,audio/Badr01/JBIL_60_A_heart_Badr01.wav,qaɫb,qaɫb
282,liver,39.0,1.0,audio/Badr01/JBIL_61_A_liver_Badr01.wav,jigir,jigir
283,person,40.0,1.0,audio/Badr01/JBIL_62_A_person_Badr01.wav,kas,kas
284,man,41.0,1.0,audio/Badr01/JBIL_63_A_man_Badr01.wav,piyā,piyā
286,woman,42.0,1.0,audio/Badr01/JBIL_65_A_woman_Badr01.wav,žin,žin
296,bride,43.0,1.0,audio/Badr01/JBIL_77_A_bride_Badr01.wav,baÿ,baÿ
297,name,44.0,1.0,audio/Badr01/JBIL_78_A_name_Badr01.wav,nāw,nāw
298,dog,45.0,1.0,audio/Badr01/JBIL_79_A_dog_Badr01.wav,sag,sag
300,horn,46.0,1.0,audio/Badr01/JBIL_81_cow_horn_Badr01.wav,šāx,šāx
301,tail,47.0,1.0,audio/Badr01/JBIL_82_A_tail_Badr01.wav,dom,dom
302,claw,48.0,1.0,audio/Badr01/JBIL_83_A_claw_Badr01.wav,čing,čing
303,feather,49.0,1.0,audio/Badr01/JBIL_84_A_feather_Badr01.wav,pař,pař
310,fish,50.0,1.0,audio/Badr01/JBIL_91_A_fish_Badr01.wav,māy,māy
311,bird,51.0,1.0,audio/Badr01/JBIL_92_A_bird_Badr01.wav,mal,mal
315,louse,52.0,1.0,audio/Badr01/JBIL_96_A_louse_Badr01.wav,šiš,šiš
316,tree,53.0,1.0,audio/Badr01/JBIL_97_A_tree_Badr01.wav,dār,dār
322,leaf,54.0,1.0,audio/Badr01/JBIL_102_A_leaf_Badr01.wav,baɫg,baɫg
323,root,55.0,1.0,audio/Badr01/JBIL_104_A_root_Badr01.wav,řīšik,řīšik
