concept_id,concept_en,start_sec,duration_sec,audio_path,ipa,ortho
122,to fly,114.0,1.0,audio/Kalh02/KLQ_7.12_A_to_fly_Kalh02.wav,pařīn,pařīn
132,nose,2.0,1.0,audio/Kalh02/JBIL_34_A_nose_Kalh02.wav,lüt,lüt
138,sister,3.0,1.0,audio/Kalh02/JBIL_75_A_sister_Kalh02.wav,xwayšk,xwayšk
144,snow,4.0,1.0,audio/Kalh02/JBIL_123_A_snow_Kalh02.wav,wafr,wafr
150,big,5.0,1.0,audio/Kalh02/JBIL_169_A_big_Kalh02.wav,gawrā,gawrā
151,small,7.0,1.0,audio/Kalh02/JBIL_170_A_small_Kalh02.wav,büčik,büčik
155,good,8.0,1.0,audio/Kalh02/JBIL_150_A_good_Kalh02.wav,xās,xās
164,white,9.0,1.0,audio/Kalh02/JBIL_181_A_white_Kalh02.wav,čarmī,čarmī
165,black,10.0,1.0,audio/Kalh02/JBIL_180_A_black_Kalh02.wav,řaš,řaš
166,red,12.0,1.0,audio/Kalh02/JBIL_179_A_red_Kalh02.wav,qirmiz,qirmiz
167,yellow,13.0,1.0,audio/Kalh02/JBIL_178_A_yellow_Kalh02.wav,zard,zard
217,one,14.0,1.0,audio/Kalh02/JBIL_1_A_one_Kalh02.wav,yak,yak
218,two,15.0,1.0,audio/Kalh02/JBIL_2_A_two_Kalh02.wav,di,di
219,three,16.0,1.0,audio/Kalh02/JBIL_3_A_three_Kalh02.wav,sē,sē
220,four,17.0,1.0,audio/Kalh02/JBIL_4_A_four_Kalh02.wav,čwār,čwār
221,five,18.0,1.0,audio/Kalh02/JBIL_5_A_five_Kalh02.wav,panj,panj
247,head,25.0,1.0,audio/Kalh02/JBIL_31_A_head_Kalh02.wav,sar,sar
249,hair,26.0,1.0,audio/Kalh02/JBIL_32_A_hair_Kalh02.wav,mü,mü
251,eye,27.0,1.0,audio/Kalh02/JBIL_33_A_eye_Kalh02.wav,čaw,čaw
252,ear,29.0,1.0,audio/Kalh02/JBIL_35_A_ear_Kalh02.wav,gūška,gūška
254,mouth,30.0,1.0,audio/Kalh02/JBIL_36_A_mouth_Kalh02.wav,dam,dam
255,tooth,31.0,1.0,audio/Kalh02/JBIL_37_A_tooth_Kalh02.wav,dēyān,dēyān
257,tongue,32.0,1.0,audio/Kalh02/JBIL_38_A_tongue_Kalh02.wav,zuwān,zuwān
259,neck,33.0,1.0,audio/Kalh02/JBIL_39_A_neck_Kalh02.wav,mil,mil
263,hand,34.0,1.0,audio/Kalh02/JBIL_42_A_hand_Kalh02.wav,das,das
264,finger,35.0,1.0,audio/Kalh02/JBIL_44_A_finger_Kalh02.wav,kilig,kilig
275,knee,36.0,1.0,audio/Kalh02/JBIL_54_A_knee_Kalh02.wav,zānū,zānū
276,foot,38.0,1.0,audio/Kalh02/JBIL_55_A_foot_Kalh02.wav,pā,pā
277,skin,39.0,1.0,audio/Kalh02/JBIL_56_A_skin_Kalh02.wav,pūs,pūs
278,bone,40.0,1.0,audio/Kalh02/JBIL_57_A_bone_Kalh02.wav,siqān,siqān
279,blood,41.0,1.0,audio/Kalh02/JBIL_58_A_blood_Kalh02.wav,xün,xün
281,heart,42.0,1.0,audio/Kalh02/JBIL_60_A_heart_Kalh02.wav,qaɫb,qaɫb
282,liver,43.0,1.0,audio/Kalh02/JBIL_61_A_liver_Kalh02.wav,jīr,jīr
283,person,44.0,1.0,audio/Kalh02/JBIL_62_A_person_Kalh02.wav,kas,kas
284,man,45.0,1.0,audio/Kalh02/JBIL_63_A_man_Kalh02.wav,pīyā,pīyā
286,woman,47.0,1.0,audio/Kalh02/JBIL_65_A_woman_Kalh02.wav,žin,žin
296,bride,48.0,1.0,audio/Kalh02/JBIL_77_A_bride_Kalh02.wav,waÿ,waÿ
297,name,49.0,1.0,audio/Kalh02/JBIL_78_A_name_Kalh02.wav,nāw,nāw
298,dog,50.0,1.0,audio/Kalh02/JBIL_79_A_dog_Kalh02.wav,say,say
300,horn,51.0,1.0,audio/Kalh02/JBIL_81_cow_horn_Kalh02.wav,šāx,šāx
301,tail,52.0,1.0,audio/Kalh02/JBIL_82_A_tail_Kalh02.wav,dü,dü
302,claw,53.0,1.0,audio/Kalh02/JBIL_83_A_claw_Kalh02.wav,čiŋīr,čiŋīr
303,feather,54.0,1.0,audio/Kalh02/JBIL_84_A_feather_Kalh02.wav,pař,pař
310,fish,55.0,1.0,audio/Kalh02/JBIL_91_A_fish_Kalh02.wav,māhī,māhī
311,bird,56.0,1.0,audio/Kalh02/JBIL_92_A_bird_Kalh02.wav,mal,mal
315,louse,58.0,1.0,audio/Kalh02/JBIL_96_A_louse_Kalh02.wav,řišk,řišk
316,tree,59.0,1.0,audio/Kalh02/JBIL_97_A_tree_Kalh02.wav,dār,dār
322,leaf,60.0,1.0,audio/Kalh02/JBIL_102_A_leaf_Kalh02.wav,waɫŋ,waɫŋ
323,root,61.0,1.0,audio/Kalh02/JBIL_104_A_root_Kalh02.wav,řīšē,řīšē
