filename,concept,start_time,start_sec,duration_sec,offset,csv_start_sec
KLQ_1_2_A_forehead_Khan04.wav,forehead,0:21:14.197,1274.197,0.75,1192.0,82.197
KLQ_1_3_A_eyelid_Khan04.wav,eyelid,0:21:39.083,1299.083,0.916,1192.0,107.083
KLQ_1_4_A_eyebrow_Khan04.wav,eyebrow,0:21:54.609,1314.609,0.674,1192.0,122.609
KLQ_1_6_A_earlobe_Khan04.wav,earlobe,0:22:09.797,1329.797,0.811,1192.0,137.797
KLQ_1_8_A_armpit_Khan04.wav,armpit,0:22:20.311,1340.311,0.98,1192.0,148.311
KLQ_1_1_A_rib_Khan04.wav,rib,0:22:50.918,1370.918,0.735,1192.0,178.918
KLQ_1_11_A_uterus_Khan04.wav,uterus,0:23:04.982,1384.982,0.796,1192.0,192.982
KLQ_1_12_A_bladder_Khan04.wav,bladder,0:23:16.822,1396.822,1.177,1192.0,204.822
KLQ_1_13_A_ankle_Khan04.wav,ankle,0:23:48.456,1428.456,0.612,1192.0,236.456
KLQ_2_3_A_father_vocative_Khan04.wav,father (vocative),0:24:20.969,1460.969,1.03,1192.0,268.969
KLQ_2_4_A_mother_vocative_Khan04.wav,mother (vocative),0:24:29.165,1469.165,0.965,1192.0,277.165
KLQ_2_6_A_grandfather_Khan04.wav,grandfather,0:24:44.000,1484.0,0.738,1192.0,292.0
KLQ_2_8_A_baby_Khan04.wav,baby,0:25:02.317,1502.317,1.547,1192.0,310.317
KLQ_2_9_A_paternal_uncle_Khan04.wav,paternal uncle,0:25:25.560,1525.56,0.995,1192.0,333.56
KLQ_2_1_A_maternal_uncle_Khan04.wav,maternal uncle,0:25:31.841,1531.841,0.857,1192.0,339.841
KLQ_2_11_A_paternal_aunt_Khan04.wav,paternal aunt,0:25:40.864,1540.864,0.873,1192.0,348.864
KLQ_2_12_A_maternal_aunt_Khan04.wav,maternal aunt,0:25:53.411,1553.411,0.949,1192.0,361.411
KLQ_2_13_A_paternal_uncles_son_Khan04.wav,paternal uncle’s son,0:26:04.858,1564.858,1.271,1192.0,372.858
KLQ_2_14_A_maternal_aunts_daughter_Khan04.wav,maternal aunt’s daughter,0:26:23.831,1583.831,1.179,1192.0,391.831
KLQ_2_15_A_brother_of_husband_Khan04.wav,brother of husband,0:27:03.826,1623.826,1.271,1192.0,431.826
KLQ_2_16_A_wife_of_brother_Khan04.wav,wife of brother,0:27:16.960,1636.96,1.039,1192.0,444.96
KLQ_2_17_A_sister_of_husband_Khan04.wav,sister of husband,0:27:31.154,1651.154,0.674,1192.0,459.154
KLQ_2_18_A_brother_of_wife_Khan04.wav,brother of wife,0:27:55.157,1675.157,1.102,1192.0,483.157
KLQ_2_19_A_sister_of_wife_Khan04.wav,sister of wife,0:28:13.565,1693.565,1.056,1192.0,501.565
KLQ_2_2_A_son_of_sister_Khan04.wav,son of sister,0:28:39.875,1719.875,1.148,1192.0,527.875
KLQ_2_21_A_daughter_of_sister_Khan04.wav,daughter of sister,0:28:51.454,1731.454,1.256,1192.0,539.454
KLQ_2_22_A_son_of_brother_Khan04.wav,son of brother,0:29:04.421,1744.421,1.087,1192.0,552.421
KLQ_2_23_A_daughter_of_brother_Khan04.wav,daughter of brother,0:29:29.707,1769.707,1.133,1192.0,577.707
KLQ_2_24_A_step-father_Khan04.wav,step-father,0:29:59.729,1799.729,1.332,1192.0,607.729
KLQ_2_25_A_step-mother_Khan04.wav,step-mother,0:30:29.491,1829.491,1.348,1192.0,637.491
KLQ_2_26_A_step-son_Khan04.wav,step-son,0:31:20.000,1880.0,1.649,1192.0,688.0
KLQ_2_27_A_step-daughter_Khan04.wav,step-daughter,0:31:34.254,1894.254,1.745,1192.0,702.254
KLQ_2_28_A_child_of_ones_daughter_Khan04.wav,child of one’s daughter,0:32:31.748,1951.748,1.148,1192.0,759.748
KLQ_2_29_A_child_of_ones_son_Khan04.wav,child of one’s son,0:32:45.404,1965.404,0.934,1192.0,773.404
KLQ_3_3_A_lightning_Khan04.wav,lightning,0:32:59.172,1979.172,1.025,1192.0,787.172
KLQ_3_2_A_thunder_Khan04.wav,thunder,0:33:43.708,2023.708,1.291,1192.0,831.708
KLQ_3_6_A_hail_Khan04.wav,hail,0:34:02.174,2042.174,0.626,1192.0,850.174
KLQ_3_7_A_wind_Khan04.wav,wind,0:34:12.862,2052.862,0.956,1192.0,860.862
KLQ_3_8_A_storm_Khan04.wav,storm,0:34:26.000,2066.0,1.0,1192.0,874.0
KLQ_3_1_A_shade_Khan04.wav,shade,0:34:37.000,2077.0,1.0,1192.0,885.0
KLQ_3_1_B_shade_Khan04.wav,shade,0:34:54.165,2094.165,0.834,1192.0,902.165
KLQ_3_11_A_God_Khan04.wav,God,0:34:59.518,2099.518,0.592,1192.0,907.518
