concept_id,concept_en,start_sec,duration_sec,audio_path,ipa,ortho
1,hair,214.0,0.695999999999998,audio/Mand01/KLQ_1.1_A_hair_Mand01.wav,ʁiʒ,ڕش
122,to fly,10520.142,0.9400000000005093,audio/Mand01/KLQ_7.12_A_to_fly_Mand01.wav,baːloːɡʌrdənbaː,گردن
16,sister,972.886,0.8769999999999527,audio/Mand01/KLQ_2.5_A_sister_Mand01.wav,xoʃkam,خو
217,one,7.617,0.9929999999999994,audio/Mand01/JBIL_1_A_one_Mand01.wav,ɛkiːk,یەکییگ
218,two,23.431,0.8900000000000006,audio/Mand01/JBIL_2_A_two_Mand01.wav,du,دەو
219,three,29.826,0.8900000000000006,audio/Mand01/JBIL_3_A_three_Mand01.wav,se,سی
220,four,34.463,0.8269999999999982,audio/Mand01/JBIL_4_A_four_Mand01.wav,ʃwaːt,چوات
221,five,40.257,0.8269999999999982,audio/Mand01/JBIL_5_A_five_Mand01.wav,pɛndʒ,بەنچ
247,head,209.725,0.8120000000000118,audio/Mand01/JBIL_31_A_head_Mand01.wav,sɛr,سر
251,eye,222.124,0.804000000000002,audio/Mand01/JBIL_33_A_eye_Mand01.wav,tʃɑː,چاو
252,ear,247.386,0.9099999999999966,audio/Mand01/JBIL_35_A_ear_Mand01.wav,ɡuːʃ,گوش
254,mouth,260.291,0.7579999999999814,audio/Mand01/JBIL_36_A_mouth_Mand01.wav,dɛm,دەم
255,tooth,266.0,0.8690000000000282,audio/Mand01/JBIL_37_A_tooth_Mand01.wav,dɪɡan,دگان
257,tongue,273.436,0.9089999999999918,audio/Mand01/JBIL_38_A_tongue_Mand01.wav,zuaːn,زوان
259,neck,283.259,0.7409999999999854,audio/Mand01/JBIL_39_A_neck_Mand01.wav,mel,مەل
263,hand,351.886,0.6759999999999877,audio/Mand01/JBIL_42_A_hand_Mand01.wav,mɛtʃiɡ,چگ
264,finger,373.208,0.6639999999999873,audio/Mand01/JBIL_44_A_finger_Mand01.wav,kʌlik,ک
275,knee,534.82,0.44299999999998363,audio/Mand01/JBIL_54_A_knee_Mand01.wav,pa,با
276,foot,534.82,0.44299999999998363,audio/Mand01/JBIL_55_A_foot_Mand01.wav,pa,با
277,skin,674.825,0.5710000000000264,audio/Mand01/JBIL_56_A_skin_Mand01.wav,puːs,پووس
278,bone,683.213,0.8740000000000236,audio/Mand01/JBIL_57_A_bone_Mand01.wav,sqan,سقان
279,blood,698.361,0.6180000000000518,audio/Mand01/JBIL_58_A_blood_Mand01.wav,xi.5n,خۊین
281,heart,721.622,0.5590000000000828,audio/Mand01/JBIL_60_A_heart_Mand01.wav,dʌl,دەل
282,liver,740.687,0.5199999999999818,audio/Mand01/JBIL_61_A_liver_Mand01.wav,kilia,کلیا
283,person,784.006,0.8709999999999809,audio/Mand01/JBIL_62_A_person_Mand01.wav,kɛs,گس
284,man,807.217,0.6140000000000327,audio/Mand01/JBIL_63_A_man_Mand01.wav,pja,پیاو
286,woman,868.0,0.7580000000000382,audio/Mand01/JBIL_65_A_woman_Mand01.wav,døt,دۊەت
