concept_id,concept_en,start_sec,duration_sec,audio_path,ipa,ortho
122,to fly,115.0,1.0,audio/Qorv01/KLQ_7.12_A_to_fly_Qorv01.wav,pařīn,pařīn
132,nose,2.0,1.0,audio/Qorv01/JBIL_34_A_nose_Qorv01.wav,lüt,lüt
138,sister,3.0,1.0,audio/Qorv01/JBIL_75_A_sister_Qorv01.wav,xwašik,xwašik
144,snow,4.0,1.0,audio/Qorv01/JBIL_123_A_snow_Qorv01.wav,bafir,bafir
150,big,5.0,1.0,audio/Qorv01/JBIL_169_A_big_Qorv01.wav,gawrā,gawrā
151,small,7.0,1.0,audio/Qorv01/JBIL_170_A_small_Qorv01.wav,büčik,büčik
155,good,8.0,1.0,audio/Qorv01/JBIL_150_A_good_Qorv01.wav,xās,xās
164,white,9.0,1.0,audio/Qorv01/JBIL_181_A_white_Qorv01.wav,čarmiǧ,čarmiǧ
165,black,10.0,1.0,audio/Qorv01/JBIL_180_A_black_Qorv01.wav,řaš,řaš
166,red,11.0,1.0,audio/Qorv01/JBIL_179_A_red_Qorv01.wav,sür,sür
167,yellow,12.0,1.0,audio/Qorv01/JBIL_178_A_yellow_Qorv01.wav,zard,zard
217,one,13.0,1.0,audio/Qorv01/JBIL_1_A_one_Qorv01.wav,yak,yak
218,two,14.0,1.0,audio/Qorv01/JBIL_2_A_two_Qorv01.wav,do,do
219,three,15.0,1.0,audio/Qorv01/JBIL_3_A_three_Qorv01.wav,sē,sē
220,four,16.0,1.0,audio/Qorv01/JBIL_4_A_four_Qorv01.wav,čwār,čwār
221,five,17.0,1.0,audio/Qorv01/JBIL_5_A_five_Qorv01.wav,panj,panj
247,head,24.0,1.0,audio/Qorv01/JBIL_31_A_head_Qorv01.wav,sar,sar
249,hair,25.0,1.0,audio/Qorv01/JBIL_32_A_hair_Qorv01.wav,qiž,qiž
251,eye,27.0,1.0,audio/Qorv01/JBIL_33_A_eye_Qorv01.wav,čāw,čāw
252,ear,29.0,1.0,audio/Qorv01/JBIL_35_A_ear_Qorv01.wav,güška,güška
254,mouth,30.0,1.0,audio/Qorv01/JBIL_36_A_mouth_Qorv01.wav,dam,dam
255,tooth,31.0,1.0,audio/Qorv01/JBIL_37_A_tooth_Qorv01.wav,dīyān,dīyān
