concept_id,concept_en,start_sec,duration_sec,audio_path,ipa,ortho
1,hair,1524.743,0.8400000000001455,audio/Saha01/KLQ_1.1_A_hair_Saha01.wav,muːsɛr,میسەر
122,to fly,10005.624,1.131999999999607,audio/Saha01/KLQ_7.12_A_to_fly_Saha01.wav,fɔrɪn,فەرەین
16,sister,2226.344,0.887000000000171,audio/Saha01/KLQ_2.5_A_sister_Saha01.wav,xuːʃek,ەیشک
217,one,1109.208,0.7709999999999582,audio/Saha01/JBIL_1_A_one_Saha01.wav,jɛk,یەک
218,two,1140.471,0.6639999999999873,audio/Saha01/JBIL_2_A_two_Saha01.wav,to,دو
219,three,1147.17,0.8289999999999509,audio/Saha01/JBIL_3_A_three_Saha01.wav,se,سێ
220,four,1154.439,0.77800000000002,audio/Saha01/JBIL_4_A_four_Saha01.wav,tʃuːr,چوارە
221,five,1163.225,0.7739999999998872,audio/Saha01/JBIL_5_A_five_Saha01.wav,pɛnt,پەنچ
247,head,1468.0,0.5709999999999127,audio/Saha01/JBIL_31_A_head_Saha01.wav,sɛr,سەر
251,eye,1586.632,0.6649999999999636,audio/Saha01/JBIL_33_A_eye_Saha01.wav,tʃɔ,چەو
252,ear,1598.618,0.6300000000001091,audio/Saha01/JBIL_35_A_ear_Saha01.wav,ɡuʃ,گووش
254,mouth,1604.145,0.4780000000000655,audio/Saha01/JBIL_36_A_mouth_Saha01.wav,dɛm,دم
255,tooth,1615.027,0.65300000000002,audio/Saha01/JBIL_37_A_tooth_Saha01.wav,deɑn,دیان
257,tongue,1643.538,0.9100000000000819,audio/Saha01/JBIL_38_A_tongue_Saha01.wav,zuaːn,زوان
259,neck,1651.657,0.51299999999992,audio/Saha01/JBIL_39_A_neck_Saha01.wav,mɛl,مەل
263,hand,1669.769,0.5950000000000273,audio/Saha01/JBIL_42_A_hand_Saha01.wav,dɛs,دەس
264,finger,1720.954,0.8399999999999181,audio/Saha01/JBIL_44_A_finger_Saha01.wav,pɛndʒə,پەنجە
275,knee,1957.76,0.6890000000000782,audio/Saha01/JBIL_54_A_knee_Saha01.wav,zedoni,زەرانی
276,foot,1982.902,0.6299999999998818,audio/Saha01/JBIL_55_A_foot_Saha01.wav,pɑ,پا
277,skin,1989.604,0.7119999999999891,audio/Saha01/JBIL_56_A_skin_Saha01.wav,pus,بوس
278,bone,1998.777,0.9099999999998545,audio/Saha01/JBIL_57_A_bone_Saha01.wav,suːxɑn,سخان
279,blood,2010.482,0.5370000000000346,audio/Saha01/JBIL_58_A_blood_Saha01.wav,xyn,خۆن
